"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","18/678","85/7187",0.211764705882353,2.2447683498178,3.72570945239452,0.000792539686130508,0.0137850629173616,0.0115563401702433,"ATP1A4/AGTR1/CACNA1H/CACNA1D/ADCY1/ADCY9/ITPR1/CREB3L4/ADCY5/CYP21A2/CACNA1F/ATP1A2/CREB3L1/CAMK2B/PDE2A/NR4A2/LIPE/PRKACB",18
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","13/678","52/7187",0.25,2.65007374631268,3.85397909986275,0.000825452869303092,0.0137850629173616,0.0115563401702433,"AGTR1/CACNA1H/CACNA1D/ADCY1/ADCY9/ITPR1/CREB3L4/ADCY5/CYP21A2/CACNA1F/PBX1/CREB3L1/PRKACB",13
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","18/678","86/7187",0.209302325581395,2.21866639226178,3.66923579380299,0.000916319163310582,0.0145738381212254,0.0122175888441411,"KCNJ3/CACNA1H/CACNA1D/ADCY1/ADCY9/ITPR1/GRIA1/ADCY5/GRIA2/CAMK2B/GNG13/NOS1AP/GUCY1A2/GRIN1/PRKACB/FOS/GRIA4/GRIA3",18
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","15/678","68/7187",0.220588235294118,2.33830036439354,3.57849054189889,0.00137232681025789,0.0208344161193698,0.0174659775851004,"ABCC8/KCNJ11/ATP1A4/CACNA1D/ADCY1/ADCY9/CREB3L4/ADCY5/CACNA1F/ATP1A2/CREB3L1/KCNMA1/CAMK2B/PRKACB/SNAP25",15
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","8/678","26/7187",0.307692307692308,3.261629226231,3.72840054229064,0.00201618980315483,0.0292785823588571,0.0245449193427544,"GRIA1/GRIA2/GABRA2/CHRNA6/GRIN1/GRIA4/CHRNB2/GRIA3",8
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","9/678","32/7187",0.28125,2.98133296460177,3.62517480448144,0.00215275371734367,0.0299591558996994,0.0251154600356762,"GALNT10/GALNT6/GALNT7/GALNT5/GALNTL6/GCNT4/GALNT16/ST6GALNAC2/GALNT15",9
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","7/678","21/7187",0.333333333333333,3.53343166175025,3.7521635214478,0.00230264953845251,0.0307633978337255,0.0257896748306681,"PLA2G10/PLAAT2/PLA2G2C/PLA2G4F/PLAAT3/CYP2C8/PLA2G3",7
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","7/678","22/7187",0.318181818181818,3.37282113167069,3.59724122654952,0.00310664293131002,0.0399084130406749,0.0334561546448772,"UGT2B15/UGT2B11/UGT2B28/UGDH/SORD/UGT2B17/KL",7
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","13/678","60/7187",0.216666666666667,2.29673058013766,3.25516731475821,0.00332122706973222,0.0410039264816016,0.0343745491462528,"NAT1/CYP2A6/UGT2B15/GSTM3/CYP2A7/UGT2B11/UGT2B28/GSTM2/NAT2/GSTM5/UGT2B17/NME3/GSTM1",13
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","6/678","17/7187",0.352941176470588,3.74128058302967,3.65190684161532,0.00343745491462528,0.0410039264816016,0.0343745491462528,"UGT2B15/UGT2B11/UGT2B28/UGDH/UGT2B17/KL",6
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","23/678","136/7187",0.169117647058824,1.79269694603505,3.01198357661443,0.00395725582174886,0.0455766704987627,0.0382079872444717,"ATP1A4/CACNA2D2/AGTR1/CACNA1D/ADCY1/ADCY9/RAPGEF3/SCN7A/BCL2/CREB3L4/ADCY5/CACNA1F/ATP1A2/CACNG1/CREB3L1/CACNG4/CAMK2B/SCN1B/CACNG8/SCN4B/PRKACB/SLC8A2/ADRB1",23
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","33/678","219/7187",0.150684931506849,1.59730472380491,2.89711178926743,0.00439241532545127,0.0489022239566908,0.0409958763708785,"ERBB4/GRPR/AGTR1/FGF10/CACNA1H/PLCD4/PTGER3/CACNA1D/RET/ADCY1/ADCY9/ITPR1/GNA14/ERBB3/CASQ1/CACNA1F/HRC/PDGFD/NFATC4/CAMK2B/MST1/FGF16/HTR2B/CASQ2/CYSLTR1/ERLN/GRIN1/PRKACB/FGF18/DRD1/ITPKA/SLC8A2/ADRB1",33
