"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0060119","inner ear receptor cell development",47,-0.441877277087898,-1.69599255715902,0.00245880463594427,0.0336738234096033,0.0284510347252835,1742,"tags=23%, list=9%, signal=21%","TECTA/ELMOD3/SLC4A7/ADGRV1/SLITRK6/NHERF1/ANKRD24/TPRN/IFT88/ATP8B1/TTC8"
"GO:0001906","cell killing",217,0.326490355822883,1.50494585897755,0.0024674379082136,0.0336738234096033,0.0284510347252835,7401,"tags=58%, list=39%, signal=36%","ULBP3/PVR/TUBB/CCL20/ULBP1/RAET1L/CXCL1/ULBP2/GAPDH/CEBPG/TAP2/CTSC/PIM1/GBP1/CXCL10/PGLYRP4/POMC/UNC13D/SFN/KRT6A/GBP5/ICAM1/CCL8/CXCL3/RNF19B/HPRT1/CCL18/LAG3/GZMB/CXCL6/KIR2DL4/CCL13/CXCL11/HLA-F/CXCL8/H2BC11/C8G/RPS19/CYRIB/IL23A/ARRB2/IL12A/IGHG1/NECTIN4/NOS2/PRF1/IL12RB1/SLAMF7/RPL30/GNLY/PLEKHM2/RAET1G/PRDX1/CEACAM1/HLA-A/MYD88/LYZ/KLRD1/LILRB1/SERPINB9/HLA-G/FCN3/TREM1/NCF1/NKG7/IL18RAP/HLA-B/C1S/CD59/HLA-H/ATN1/C2/CXCL9/C1R/FCGR1A/TIGIT/C3/XCL1/KLRC1/CADM1/HLA-E/GZMH/FCGR2A/LAMP1/LGALS9/CD1A/SPI1/IL18/CR1/H2BC12/CORO1A/CCL17/CD1B/HLA-C/FCN1/SLAMF6/CD2/SCNN1B/HLA-DRA/VAMP7/PIK3CB/GZMA/STAP1/B2M/CD226/HLA-DRB1/FCGR2B/SH2D1A/KIF5B/FCGR3A/NCR3/APOL1/KLRC4-KLRK1/KLRK1/CXCL2/HMGN2/PTPRC/RNASE7/HAVCR2/NCKAP1L/P2RX7/CRK/GBP2/RAB27A/VAV1/PIK3R6"
"GO:0061436","establishment of skin barrier",34,0.523131791340685,1.75261035885014,0.00248565455150194,0.0338060240920975,0.028562731165649,2613,"tags=41%, list=14%, signal=36%","KRT16/STMN1/CLDN1/SFN/ELOVL1/MET/LSR/STARD7/ZNF750/GRHL1/SRF/CYP26B1/GRHL3/TMEM79"
"GO:0044793","host-mediated suppression of viral proces",15,0.636679134323498,1.72044324212183,0.00253445452442892,0.0339479195718921,0.0286826187463935,4530,"tags=60%, list=24%, signal=46%","PTX3/HMGA2/ZNF639/BRD4/TFAP4/TARDBP/CCL5/CCL4/HDAC1"
"GO:0002833","positive regulation of response to biotic stimulus",419,0.282823560892894,1.38066308171378,0.00252514387476416,0.0339479195718921,0.0286826187463935,4740,"tags=31%, list=25%, signal=24%","POLR3G/AURKB/RIPK2/PVR/ZDHHC18/CGAS/IRAK1/PELI1/LYN/TRIM65/CLEC7A/S100A8/KLK5/RAB7B/KLK7/FOSL1/PLCG2/OTULIN/POMC/XPNPEP1/TNIP3/TYRO3/DDX39A/MFHAS1/MMP12/AKIRIN2/INAVA/PRKCA/NMI/AIM2/LSM14A/GBP5/HMGB2/PLSCR1/HSPD1/LBP/IPO5/DHX33/PHB2/NPLOC4/LAG3/STMP1/BMP6/TNF/POLR3D/CCDC134/GZMB/KIR2DL4/IFIH1/HSP90B1/APP/PAK3/HLA-F/PRKDC/MAP2K3/RIOK3/XRCC6/CLEC4E/NONO/TLR6/AARS2/S100A9/TLR2/PIK3AP1/IFI16/COLEC11/TLR1/CARD9/UFD1/FPR2/RPS19/NLRC5/SFPQ/BIRC2/POLR3C/CD274/SLC19A1/CD180/CD14/ARRB2/IL12A/EMILIN2/IKBKE/CLPB/SLC15A2/STEEP1/MEFV/ZNRF1/PRF1/SIRT2/CTSS/IRF4/TRAF3IP3/SMPDL3B/FYN/YWHAG/RAET1G/LAMP2/C1QBP/CCL5/TIFA/SRC/CYBA/POLR3F/MAPK14/HCK/ZBP1/MYD88/ATAT1/HMGB1/KLRD1/HLA-G/PQBP1/FCN3/EIF2AK2/SH2D1B/TLR8/CASP1/ZDHHC9/RPS6KA3/OASL/IRAK2/PTPN22/DHX9/IL18RAP/BIRC3/MAP3K7/TNFAIP3/RSAD2/GSDME/IRF5"
"GO:0010720","positive regulation of cell development",406,0.287596355289039,1.3989415606618,0.00257064074271824,0.0343417083700164,0.0290153311513255,4648,"tags=32%, list=24%, signal=25%","SOX8/CHODL/SOX11/BCL11A/RIPK2/LRP8/PAX6/HDAC2/SLC7A5/RHEB/IL34/LYN/NOTCH1/CLEC7A/ASPM/XRCC2/SOX10/SMO/AURKA/BNC1/ZNF488/KDM1A/CBFB/RUNX3/BMP2/E2F1/CORO1C/ETV5/ANKRD27/S1PR2/VNN1/PRKCA/WDR62/IL2RA/ACTL6A/PPARGC1B/SERPINE2/PNP/ID4/IL1RL2/TIAM2/ANXA1/L1CAM/EFNA5/ADA/NRDC/IL15RA/TNFRSF11A/MYRF/TNF/EPHB2/LIMK1/NUMBL/SMARCA4/CX3CL1/CTNNBIP1/CD83/PTPRZ1/SRF/HOXA11/IL4I1/PRKDC/XRCC6/F11R/SMARCB1/PLAG1/MPL/HSF1/VEGFA/IFNG/QKI/TSPO/CDH4/LILRB2/BRD4/TOX/SEMA4D/PRKCI/SEMA7A/SMURF1/DISC1/CCR1/FMR1/ACTB/SLC9B2/TNFSF9/SOCS1/PCID2/IL23A/LIF/DHX36/SOX4/ITPKB/RNF112/BRD7/MALT1/IL12RB1/BTN2A2/DBN1/SIRT2/STK25/CD80/CLCN2/IL15/ROBO1/NGF/BIN1/KIT/HIF1A/PPP2R3C/HMGB1/MAP2K1/WNT10B/LILRB4/CXCR4/HLA-G/SMARCC1/FOXP3/CD101/IL7/HAX1/FXR1/CD86/PPP1CC/HDAC1/MAP3K13/IL2RG/OPA1/FES"
"GO:0043392","negative regulation of DNA binding",16,0.646770419361726,1.79418412702874,0.00267937569683703,0.0355856796430922,0.0300663632677867,3227,"tags=62%, list=17%, signal=52%","SOX11/SMO/ILRUN/E2F1/HMGA2/NFIB/SUMO3/IFI16/TFAP4/SUMO1"
"GO:0098915","membrane repolarization during ventricular cardiac muscle cell action potential",15,-0.638029176392751,-1.86330509678817,0.00271619623477588,0.0359117409269909,0.0303418526530558,2275,"tags=40%, list=12%, signal=35%","CASQ2/NOS1AP/SCN2B/KCND3/KCNE4/KCNJ3"
"GO:1902742","apoptotic process involved in development",37,0.518019348627915,1.76843518478732,0.00273150253403487,0.0360116034301096,0.0304262265451863,2185,"tags=32%, list=11%, signal=29%","FOXC1/CDKN2A/CHEK1/CRYAB/NOTCH1/SIX3/FOXC2/BAK1/ZPR1/PML/NKX2-5/KIF1B"
"GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity",32,0.510689022793494,1.68372638411575,0.00280599995307087,0.0367524993853304,0.0310522100069811,3133,"tags=38%, list=16%, signal=31%","CDKN2A/CDC25A/BLM/CCNY/PIM1/CDKN3/CDC25C/CDC6/CCNE2/HERC5/PKMYT1/TFAP4"
