"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051960","regulation of nervous system development","80/2046","410/14848",0.195121951219512,1.41601697541902,3.41493718313477,0.000686836398065145,0.0247084991406512,0.0225284192374809,"SOX8/CHODL/VSTM5/SOX11/RGMA/LPIN1/BCL11A/LRP8/EZH2/PAX6/MAP2/HDAC2/IFRD1/SLC7A5/EPHB1/MTMR2/EPHB3/IL34/LYN/NOTCH1/ASPM/S100B/KIF14/XRCC2/SOX10/SMO/CTSC/TNFRSF21/ZNF488/NCMAP/BMP2/E2F1/HMGA2/ETV5/PRKCA/WDR62/SERPINE2/EPHA7/DRAXIN/ID4/LHX2/S100A10/TIAM2/DLL3/L1CAM/HMGB2/EFNA5/MYRF/TNF/EPHB2/CX3CL1/RTN4R/PTPRZ1/SLITRK2/PLAG1/PROX1/CHD7/IFNG/CDH4/LINGO2/RARB/CDK18/GHRL/DKK1/LIF/DCC/RNF112/HEY2/MCF2/SLITRK5/NGF/KIT/MYCN/BMP7/LPAR3/DRD2/LTA/BRINP1/NOS1/HAP1",80
"GO:1904062","regulation of monoatomic cation transmembrane transport","52/2046","243/14848",0.213991769547325,1.55295688867971,3.47437656090478,0.000695245908181842,0.024851719979086,0.0226590034171769,"KCNG1/KCNS1/STAC/UBASH3B/GAL/OPRK1/KCNN4/LYN/TMEM38A/ATP1B3/TMC1/CXCL10/PRNP/LCN2/GRM6/FXYD6/DMD/REM1/GRIN2B/JPH2/CX3CL1/CXCL11/P2RY6/NTSR1/FXYD5/WNK3/CHD7/GRIN2A/IFNG/KCNJ2/STAC2/OSR1/KCNIP3/GRIN2D/PCSK9/SCN5A/NGF/LRRC55/EDN1/FXYD7/PDE4B/P2RX5/KCNIP1/DPP6/CXCL9/NOS1/RYR2/HAP1/MMP9/DPP10/CALML3/P2RX2",52
"GO:0016338","calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules","9/2046","20/14848",0.45,3.26568914956012,4.05328639979592,0.000702534359004754,0.0249533090046499,0.0227516290414531,"CLDN16/CLDN10/BMP2/CLDN23/CLDN9/CLDN1/CX3CL1/CLDN2/CLDN14",9
"GO:0001912","positive regulation of leukocyte mediated cytotoxicity","19/2046","64/14848",0.296875,2.1544477028348,3.6999983592334,0.000727057785028418,0.0256619389281729,0.0233977351408351,"ULBP3/PVR/ULBP1/RAET1L/ULBP2/TAP2/POMC/LAG3/HLA-F/IL23A/IL12A/NOS2/IL12RB1/RAET1G/KLRD1/HLA-G/IL18RAP/CD1A/CD1B",19
"GO:0046541","saliva secretion","6/2046","10/14848",0.6,4.35425219941349,4.24171306976262,0.000867170670064734,0.029316637351827,0.0267299722713042,"CHRM3/OPRK1/KCNN4/AQP5/CHRM1/TIFAB",6
"GO:0030856","regulation of epithelial cell differentiation","34/2046","144/14848",0.236111111111111,1.7134788747692,3.43936189421024,0.000974823545156552,0.0325637484251105,0.0296905842920176,"FOXC1/PRKX/EZH2/PAX6/CEBPB/NOTCH1/PKP1/SMO/BMP2/PROM1/SFN/XDH/WWTR1/BMP6/TNF/GRHL1/SOX9/PTCH1/IFNG/OSR1/MACROH2A2/LIF/ETV4/ZBED2/HEY2/CEACAM1/CD109/TMEM100/WNT10B/MYCN/BMP7/SIX2/FRZB/MMP9",34
"GO:0097553","calcium ion transmembrane import into cytosol","39/2046","172/14848",0.226744186046512,1.64550228466207,3.4040145924318,0.000997137567427032,0.0331120475053284,0.0301905058565108,"UBASH3B/KCNN4/LYN/TRPV3/TMEM38A/TRPV4/PLCG2/CXCL10/RYR1/PRNP/GRM6/PLCH1/RYR3/CACNA1A/DMD/GRIN2B/JPH2/CX3CL1/CXCL11/P2RY6/NTSR1/CACNA1B/CHD7/GRIN2A/GRIN2D/PLCB4/TRPV6/NGF/HTR2A/FASLG/P2RX5/CACNA1E/CXCL9/DRD2/NOS1/RYR2/HAP1/CALML3/P2RX2",39
"GO:0015908","fatty acid transport","25/2046","96/14848",0.260416666666667,1.88986640599544,3.49677939110185,0.00101471369769277,0.0334974898320695,0.0305419398420096,"SLC43A3/FABP7/PLA2G4A/FABP5/LYN/PPARA/PTGS2/NMB/ERFE/PLIN2/SLC2A1/CRABP1/ANXA1/TNFRSF11A/NTSR1/SLCO4A1/NOS2/ABCC4/SLC27A6/EDN1/RBP1/DRD2/FABP6/SPX/PLA2G2D",25
"GO:0035094","response to nicotine","14/2046","42/14848",0.333333333333333,2.41902899967416,3.68154659223672,0.00102107499502469,0.0335103676729742,0.0305536814454604,"HDAC2/OPRK1/CHRNA5/PPARA/LYPD1/CHRNA7/TNF/VCAM1/GRM2/EDN1/CHRNB4/TACR1/DRD2/PENK",14
"GO:0002228","natural killer cell mediated immunity","22/2046","81/14848",0.271604938271605,1.97106066640117,3.50328921866355,0.00109470607737768,0.0353368937952548,0.0322190495439722,"ULBP3/PVR/TUBB/ULBP1/ULBP2/CEBPG/UNC13D/LAG3/GZMB/KIR2DL4/HLA-F/IL12A/SLAMF7/RAET1G/CEACAM1/CALHM6/KLRD1/HLA-G/SH2D1B/NKG7/IL18RAP/TIGIT",22
"GO:0048568","embryonic organ development","82/2046","429/14848",0.191142191142191,1.38713551030267,3.25279985431292,0.00112119441292995,0.0359551031163593,0.0327827130300902,"FOXC1/EN1/MTHFD1L/FBN3/KCNQ4/SOX11/DLX5/STIL/PAX6/ELF5/CEBPB/OTX1/RDH10/NOTCH1/EGFR/SIX3/SMO/FOXC2/TEAD4/MDFI/NES/ST14/PLK4/GJB5/ZIC1/E2F8/VASH2/NECTIN1/EPHA2/HOXA1/ADA/TUBB2B/E2F7/ADM/SNAI1/PTK7/TMIE/TNF/NKX2-5/FOLR1/EPHB2/SOX15/HOXA11/USH1C/MYC/SOX9/CXCL8/PTCH1/PROX1/CHD7/ALDH1A3/MYO3A/FGF9/GJB6/OSR1/NDRG4/PRICKLE1/GRHL3/RARB/LRIG3/VAX2/VANGL2/LIF/USH1G/RNF112/TBX4/HOXB9/FBN2/HEY2/EN2/ALX4/KIT/EDN1/MYCN/BMP7/BMP5/COL2A1/TIFAB/SIX2/FRZB/RYR2/TH",82
"GO:2000179","positive regulation of neural precursor cell proliferation","15/2046","47/14848",0.319148936170213,2.31609159543271,3.61262408423184,0.00113651998957404,0.036239489667554,0.0330420075916232,"FZD9/PAX6/LYN/NOTCH1/ASPM/SOX10/SMO/NES/WDR62/ID4/LHX2/CX3CL1/PROX1/TOX/DRD2",15
"GO:0070371","ERK1 and ERK2 cascade","58/2046","285/14848",0.203508771929825,1.47688086295896,3.24967670701559,0.00129236764271745,0.039850369290826,0.0363342921414085,"C1QL4/RIPK2/ALKAL2/FAM83D/EPHB1/GLIPR2/LYN/NOTCH1/CHI3L1/DUSP7/TRPV4/EGFR/MARCO/IQGAP3/ROS1/GBP1/SIRPA/CDK1/GCNT2/BMP2/GPR55/MFHAS1/DUSP9/GSTP1/PRKCA/ANGPT1/EPHA7/EPHA2/NDRG2/IL1A/ICAM1/TNFRSF11A/ACE2/CHRNA7/TNF/EPHB2/CX3CL1/P2RY6/MYC/SOX9/CARD9/NDRG4/FPR2/NEURL3/CCR1/LIF/CEACAM1/CCL5/NGF/HTR2A/EDN1/ADCYAP1/DRD2/CXCL17/NECAB2/LMO3/S100A7/NRG1",58
"GO:0001819","positive regulation of cytokine production","88/2046","470/14848",0.187234042553191,1.35877373598719,3.15975631060643,0.0014481490830323,0.0441685470324852,0.0402714684932495,"IL12RB2/POLR3G/RIPK2/FERMT1/CGAS/HDAC2/IRAK1/SLC7A5/CEBPB/PELI1/TRIM65/CHI3L1/CLEC7A/GAPDH/TRPV4/CEBPG/SERPINB7/IL20RB/PTGS2/IDO1/RAB7B/PLCG2/KPNA2/HMSD/ADORA2B/MMP12/ORM2/INAVA/PRKCA/IL27RA/GPRC5B/NMB/PNP/AIM2/GBP5/IL1A/IL1RL2/ANXA1/HMGB2/SPHK1/LBP/IL32/TNF/EPHB2/CX3CL1/KIR2DL4/IFIH1/CD83/HLA-F/HPSE/ORM1/CLEC4E/TLR6/CYP1B1/MCOLN2/IFNG/TLR1/CARD9/PANX2/LILRB2/GARIN5A/CD274/LILRA5/IL23A/PRKCQ/IL12A/NOS2/IL12RB1/IRF4/TRAF3IP3/RAET1G/CD80/POU2AF1/SECTM1/HTR2A/KIT/PDE4B/HLA-G/CD7/TLR8/ADCYAP1/LTB/DRD2/TIGIT/LTA/CXCL17/PAEP/IL17B",88
"GO:0051447","negative regulation of meiotic cell cycle","8/2046","18/14848",0.444444444444444,3.22537199956555,3.77660491370315,0.00154617866541982,0.0466513691953551,0.0425352263305363,"HORMAD1/TTK/TRIP13/FBXO5/KNL1/PKMYT1/LIF/NPPC",8
"GO:0007271","synaptic transmission, cholinergic","10/2046","26/14848",0.384615384615385,2.79118730731634,3.65432803853217,0.00155877762632592,0.0467800002082411,0.0426525079739393,"CHRM3/CHRNA5/LYPD1/RAPSN/CHRNA7/LYNX1/NALCN/ACHE/CHRNB4/TACR1",10
"GO:0045664","regulation of neuron differentiation","37/2046","165/14848",0.224242424242424,1.62734678159898,3.23948150326556,0.0016339208216651,0.0482608613220238,0.044002709773485,"SOX8/SOX11/BCL11A/GDF5/PAX6/NOTCH1/ASPM/S100B/SIX3/SFRP1/BMP2/ETV5/GPRC5B/WDR62/ALK/ZC4H2/ID4/DMD/ADRA2B/BMP6/NKX2-5/FUOM/SOX9/DUOXA1/PROX1/TUNAR/DKK1/RNF112/HEY2/BCL11B/NGF/PCP4/LTK/MYCN/BMP7/BRINP1/GDF7",37
"GO:0019835","cytolysis","6/2046","11/14848",0.545454545454545,3.9584110903759,3.92387418427078,0.00168555793855553,0.0487595420163589,0.0444573908807294,"PIM1/GBP1/HMSD/SFN/GBP5/RNASE7",6
