"gene_id","symbol","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000068354.16","TBC1D25","protein_coding",1124.26637548812,0.163799524986762,0.0346691980593061,4.72975374078345,2.24792340535652e-06,3.50882969190333e-06
"ENSG00000122986.14","HVCN1","protein_coding",216.106471417868,0.338494140203639,0.0718765592950258,4.72953617340155,2.25033358639114e-06,3.51235123732643e-06
"ENSG00000250909.1","AC138956.1","lncRNA",7.01555858396922,-0.412225887516027,0.0876523977522227,-4.72871042693922,2.25950369123253e-06,3.52642255884959e-06
"ENSG00000137392.10","CLPS","protein_coding",19.0338383032874,0.838213755823888,0.181038707400685,4.72780419748237,2.26960887553575e-06,3.54195123817689e-06
"ENSG00000155926.14","SLA","protein_coding",1237.76934694438,0.403349235576642,0.0858269252038411,4.726621862634,2.2828581143317e-06,3.56238406598656e-06
"ENSG00000137962.13","ARHGAP29","protein_coding",6008.41990386298,-0.372791629162863,0.0785904476737827,-4.72621370789023,2.28744911453925e-06,3.56930390041518e-06
"ENSG00000133812.16","SBF2","protein_coding",1802.38839268577,-0.316423318445714,0.0671828024559423,-4.72574180502859,2.29276821610157e-06,3.57735882886088e-06
"ENSG00000198590.12","C3orf35","lncRNA",66.044987895568,-0.549716391716868,0.0808564971928527,-4.72543517199337,2.29623082539576e-06,3.58251620629755e-06
"ENSG00000119698.12","PPP4R4","protein_coding",266.163420023263,-0.886829361836085,0.194239704618699,-4.72400309700397,2.31246892017853e-06,3.60735654755571e-06
"ENSG00000226964.1","RHEBP2","processed_pseudogene",9.98581822679647,0.398464564816765,0.0850235176096112,4.72401009786016,2.31238927093866e-06,3.60735654755571e-06
"ENSG00000113638.14","TTC33","protein_coding",847.198028692353,0.210664200706253,0.0446520309331195,4.72370953921306,2.31581112016349e-06,3.61232299224187e-06
"ENSG00000249936.3","RAC1P2","processed_pseudogene",96.4783769465995,0.299023477749347,0.0635134602180994,4.72332982745352,2.32014107621546e-06,3.61882940514827e-06
"ENSG00000237541.4","HLA-DQA2","protein_coding",1749.42770224603,0.638850015058732,0.136959818534158,4.72256862005519,2.32884475347908e-06,3.63215635232613e-06
"ENSG00000136250.12","AOAH","protein_coding",542.112532620343,0.438635618764256,0.0935936025294217,4.72060757393317,2.3514120906973e-06,3.66710229636527e-06
"ENSG00000148362.11","PAXX","protein_coding",1821.01054156069,0.366800178731352,0.078220733721305,4.72021145950811,2.35599591744826e-06,3.67399951793112e-06
"ENSG00000099139.14","PCSK5","protein_coding",655.727416495708,-0.398894875838328,0.0849524007476657,-4.7198737685275,2.35991044289162e-06,3.67985214175854e-06
"ENSG00000155749.13","FLACC1","protein_coding",25.0665346403188,-0.443565246293711,0.0946506084770327,-4.71900906356754,2.36996262072977e-06,3.6952738652974e-06
"ENSG00000258701.1","LINC00638","lncRNA",137.196283750283,-0.369369924320121,0.0786628690309241,-4.71824762104276,2.37884840224621e-06,3.70887494428741e-06
"ENSG00000269680.1","AC008760.1","lncRNA",34.219875591044,-0.370339650478252,0.0789750358943105,-4.71685339340018,2.39520154560956e-06,3.73411576892998e-06
"ENSG00000164946.20","FREM1","protein_coding",226.983068136008,-0.58690633189073,0.126227247275817,-4.71620142792389,2.40288554760739e-06,3.74583888615048e-06
"ENSG00000141622.14","RNF165","protein_coding",284.414575536801,0.500535261979592,0.106953802255398,4.71586191775795,2.40689634691141e-06,3.75183466537568e-06
"ENSG00000130762.15","ARHGEF16","protein_coding",1560.30440309014,-0.3412433592353,0.0726682797687962,-4.71482224965849,2.41921846918288e-06,3.77078430660285e-06
"ENSG00000271553.1","AC018638.7","lncRNA",30.7890577765437,-0.412290712931005,0.0880642210519881,-4.71405384420279,2.42836449026515e-06,3.78478117333195e-06
"ENSG00000065308.5","TRAM2","protein_coding",3415.21184641604,0.238241267153743,0.0509181423581414,4.71301430101992,2.44079059901315e-06,3.80388802941115e-06
"ENSG00000230561.4","CCDC192","protein_coding",17.8616699257656,0.782584959151492,0.0774728401049617,4.71267876499258,2.44481442077754e-06,3.80989849326091e-06
"ENSG00000151079.7","KCNA6","protein_coding",35.7752629785555,1.1940048002003,0.146573286359844,4.71235210346349,2.4487379349207e-06,3.81575183062886e-06
"ENSG00000280434.1","AL031595.3","lncRNA",22.7245012291084,0.391586767905244,0.0835725028813063,4.71233752028118,2.44891323361806e-06,3.81576410114099e-06
"ENSG00000108639.8","SYNGR2","protein_coding",15390.681141898,-0.252511246034602,0.054392196493425,-4.71176510649501,2.45580351937313e-06,3.82623858422429e-06
"ENSG00000122779.18","TRIM24","protein_coding",3104.79660982851,0.219035774446963,0.0465884858343464,4.71043085618404,2.47193654176842e-06,3.85111119854017e-06
"ENSG00000268182.6","SMIM17","protein_coding",40.8652692455266,0.400933056889543,0.0856383352180183,4.71015525581942,2.47528160473944e-06,3.85605899204487e-06
"ENSG00000119899.13","SLC17A5","protein_coding",2159.40090186889,0.257294770873597,0.0545979827591093,4.70895891593897,2.48985245961159e-06,3.87849274875318e-06
"ENSG00000257122.5","RRN3P3","transcribed_unprocessed_pseudogene",197.929533413424,0.230619101581593,0.0491030134243716,4.70844279891998,2.49616391185573e-06,3.88805848244286e-06
"ENSG00000126001.16","CEP250","protein_coding",3022.08124399951,0.24350431186593,0.0519287915612824,4.70730045882266,2.51018793214693e-06,3.90963528747083e-06
