"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","59/1036","155/7187",0.380645161290323,2.64063395192427,8.47400534208724,1.66683403809017e-13,5.83391913331558e-11,5.68478135096015e-11,"CCNE1/SKP2/CDKN2A/CDC20/TTK/ORC1/NDC80/CHEK1/CDC25A/E2F3/TICRR/AURKB/MCM7/PLK1/BUB1/CCNB2/E2F2/TRIP13/DBF4/MCM5/MCM6/CCNA2/MCM3/CHEK2/HDAC2/CDC45/FBXO5/SGO1/ORC6/MCM4/CDC7/SMC1B/TFDP1/CDCA5/PTTG1/CDC25B/CDK6/CCNA1/MTBP/CDT1/MAD2L1/RBL1/CDKN2C/MCM2/CDK1/BUB1B/CCNB1/E2F1/SFN/E2F5/DDX11/KNL1/ESPL1/CDC25C/CDC6/MYC/CCNE2/PKMYT1/CCNB3",59
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","55/1036","144/7187",0.381944444444444,2.64964741527242,8.20623885060995,9.62583732571462e-13,1.68452153200006e-10,1.64145857554291e-10,"KRT16/KRT83/PADI2/TGM1/CLDN16/KRT86/KRT79/KRT6B/DSG1/EPHX3/S100A8/ELOVL4/PKP1/S100A2/CLDN10/KRT81/DSG3/KRT6C/CERS3/ST14/S100A1/CLDN23/CLDN9/CLDN1/TGM5/KRT6A/KRT5/S100A10/KRT23/S100A3/KRT17/S100A11/ITGA6/S100A6/COL4A4/KRT14/IVL/S100A5/S100A9/S100A4/CASP14/LAMC2/ITGB4/COL4A3/LAMB3/CLDN2/KRT75/KRT4/KRT7/CLDN14/TCHH/ALOX12B/S100A7/S100A7A/PADI3",55
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","70/1036","230/7187",0.304347826086957,2.11133960047004,7.02991909401795,1.98833799359882e-10,2.31972765919862e-08,2.2604263506176e-08,"IL12RB2/CXCL5/GDF5/IL34/CCL20/CXCL1/IL1R2/IL20RB/IFNAR2/TNFRSF21/CXCL16/CXCL10/BMP2/IL27RA/IL2RA/IL1A/IL1RL2/TNFSF13B/CCL8/CCL7/EDAR/CXCL3/IL15RA/TNFRSF11A/IL32/CCL18/BMP6/TNF/CXCL6/CX3CL1/CCL13/CXCL11/CXCL8/IFNG/CD70/TNFRSF10D/IL22RA1/CCR1/TNFSF9/IL23A/LIF/IL12A/CCL26/IL31RA/IL12RB1/CSF2RB/TNFRSF9/CCL5/NGF/CCL24/IL21R/CXCR6/FASLG/BMP7/BMP5/TNFSF15/IL18RAP/IL2RG/LTB/CXCL9/TNFRSF13C/TNFRSF17/LTA/CXCL17/CNTFR/IL13RA2/GDF7/GDF10/IL17B/BMP3",70
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","62/1036","234/7187",0.264957264957265,1.83807708807709,5.34880053168376,6.38617851938751e-07,5.58790620446407e-05,5.44505747442514e-05,"CHRM3/GABBR2/GABRP/GPR156/GAL/OPRK1/PRSS3/CHRNA5/NPFFR1/HTR6/POMC/ADORA2B/PTH2R/GRM6/OGFRL1/NMB/NMU/QRFP/QRFPR/GABRE/ADM/ADRA2B/CHRNA7/S1PR5/GRIN2B/SLURP1/P2RY6/NTSR1/PTGFR/GRIN2A/ADM2/LYNX1/FPR2/TSHR/GNRH1/GHRL/GRIN2D/CHRM1/GABRG3/GRM2/GLP1R/RXFP1/HTR2A/UTS2B/EDN1/CHRNB4/NMUR1/SSTR3/ADCYAP1/EDN2/P2RX5/TACR1/LPAR3/GABRQ/DRD2/INSL3/GLP2R/PNOC/SPX/UTS2/P2RX2/PENK",62
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","27/1036","87/7187",0.310344827586207,2.15294235121821,4.44005822256443,5.44477230725767e-05,0.00381134061508037,0.00371390784747681,"CXCL5/IL34/CCL20/CXCL1/IL20RB/CXCL10/IL2RA/CCL8/CCL7/CXCL3/CCL18/TNF/CXCL6/CX3CL1/CCL13/CXCL11/CXCL8/TNFRSF10D/IL22RA1/CCR1/CCL26/CCL5/CCL24/IL18RAP/IL2RG/CXCL9/LTA",27
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","36/1036","144/7187",0.25,1.73431467181467,3.6528785076315,0.000491379005734401,0.0286637753345067,0.0279310171680607,"CHRM3/GABBR2/GABRP/SLC6A2/OPRK1/HTR6/POMC/ADORA2B/GRM6/PRKCA/OGFRL1/SLC6A11/GABRE/ADRA2B/CHRNA7/GRIN2B/GNB4/P2RY6/GNAI1/GRIN2A/GRIN2D/CHRM1/PLCB4/GABRG3/GRM2/HTR2A/ACHE/GNG4/CHRNB4/P2RX5/TACR1/GABRQ/DRD2/PNOC/P2RX2/PENK",36
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","38/1036","158/7187",0.240506329113924,1.66845462098627,3.48661763405083,0.000778835855476451,0.0389417927738226,0.0379462882968978,"CCNE1/CDKN2A/FSCN1/CDC25A/E2F3/STMN1/EZH2/E2F2/HDAC2/GLS/DNMT3B/KIF23/NOTCH1/CDCA5/CDC25B/CDK6/SHC4/EGFR/PTGS2/SERPINB5/PIM1/PLCG2/E2F1/HMGA2/ST14/PRKCA/MET/IGF2BP1/EFNA5/SLC45A3/CDC25C/MYC/CCNE2/CYP1B1/DDIT4/SOCS1/MMP9/EFNA2",38
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","23/1036","83/7187",0.27710843373494,1.92237288924036,3.46852412821408,0.00114015995698493,0.0498819981180907,0.0486068192188313,"CXCL5/CEBPB/CCL20/CXCL1/S100A8/PTGS2/FOSL1/CXCL10/LCN2/MMP1/CCL7/CXCL3/TNF/CXCL6/MAPK4/CXCL8/S100A9/IFNG/MMP9/S100A7/S100A7A/MMP13/IL17B",23
