"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04081","Hormone signaling",149,-0.359078998209111,-1.71753544864534,3.73892551550111e-05,0.00102423744616776,0.000758356003853023,3396,"tags=32%, list=18%, signal=26%","DRD1/SLC16A2/ADRA2C/LEPR/LEP/SSTR1/GNG11/CGA/PRKG1/UCN/ADCY4/GHR/PRKACB/SMAD5/CALCR/RAPGEF4/RAMP1/GNG13/VIPR2/DIO1/GPER1/PTHLH/AVPR2/SSTR2/RAMP3/RAMP2/THRB/ADRA2A/ADCY6/IGF1R/EPOR/VIPR1/IRS1/ADCY5/PRLR/GHRH/GIPR/GNA14/RAPGEF3/ADCY9/ADCY1/BMPR1B/SLC40A1/TRH/AGTR1/THPO/ESR1"
"hsa04612","Antigen processing and presentation",64,0.498581076890455,1.89137016325497,9.10077214767786e-05,0.00207262659818417,0.00153459418063592,7455,"tags=81%, list=39%, signal=50%","TAP2/CALR/TAP1/HLA-DOB/NFYA/TNF/NFYC/KIR2DL4/HLA-F/IFNG/HSP90AB1/CTSS/LGMN/RFX5/HLA-A/TAPBP/RFXAP/CTSL/CD8B2/HSPA6/KLRD1/HLA-G/TAPBPL/HLA-B/CIITA/CTSB/IFI30/KLRC1/CD8B/HSPA5/HLA-E/KIR3DL2/HLA-DQA1/HLA-C/CD4/PDIA3/HLA-DRA/HSP90AA1/HLA-DMA/PSME3/B2M/HLA-DRB1/HSPA8/HLA-DQB1/RFXANK/HLA-DQA2/HLA-DOA/HLA-DRB5/CD8A/HLA-DMB/HSPA1B/PSME2"
"hsa03015","mRNA surveillance pathway",90,0.448290234669105,1.79648533725294,9.36780383360078e-05,0.00207262659818417,0.00153459418063592,4846,"tags=46%, list=26%, signal=34%","MAGOH/PPP1CB/SMG5/ALYREF/UPF3B/CPSF3/MAGOHB/PABPC4/PABPC4L/UPF2/PABPC1/DDX19A/CSTF3/RNGTT/PABPC3/DAZAP1/CLP1/CPSF4L/NXT1/CPSF4/PPP2R5D/SSU72/NXT2/HBS1L/RBM8A/WDR33/NUDT21/PPP2R3A/TARDBP/MSI1/DDX19B/PAPOLG/CPSF1/PPP2R3C/NCBP2/FIP1L1/NCBP1/SRRM1/PPP1CC/RNMT/EIF4A3"
"hsa05168","Herpes simplex virus 1 infection",159,0.381639234594525,1.68083064422903,9.30571885320777e-05,0.00207262659818417,0.00153459418063592,6646,"tags=52%, list=35%, signal=34%","SRPK1/CGAS/IRAK1/RHEB/PPP1CB/TAP2/IFNAR2/ALYREF/BAK1/BID/CALR/NECTIN1/TAP1/PML/SRSF3/HLA-DOB/EIF2B3/CYCS/TNF/IFIH1/HLA-F/EIF4EBP1/SRSF2/SRSF7/IFNG/TLR2/CARD9/BIRC2/SRSF4/IL12A/IKBKE/FAS/IFNGR1/PIK3CD/CCL5/SRC/HLA-A/TAPBP/MYD88/CASP3/SRSF1/AKT3/FASLG/HCFC1/HLA-G/TAPBPL/EIF2AK2/TNFSF14/PPP1CC/STAT1/HLA-B/BIRC3/MAP3K7/BAX/EIF2B1/PILRA/SYK/LTA/CCL2/C3/IFNGR2/HLA-E/POU2F2/EIF2S1/TRAF2/IL1B/HLA-DQA1/DAXX/POU2F3/TNFRSF1A/RELA/HLA-C/PDIA3/HLA-DRA/TICAM1/HLA-DMA/PIK3CB/TRAF3/B2M/TP53/PIK3CA/HLA-DRB1/STAT2"
"hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",27,0.625804830789725,1.96030526276487,0.000118710485702791,0.00247197129051695,0.00183027312321951,1837,"tags=33%, list=10%, signal=30%","B3GNT5/ST3GAL6/ST8SIA1/B3GNT4/GCNT2/B4GALT2/FUT4/ST3GAL4/B3GNT3"
"hsa00970","Aminoacyl-tRNA biosynthesis",44,0.546629624953333,1.93850065127241,0.000150859999357258,0.00296691332069274,0.00219673332397411,5452,"tags=57%, list=29%, signal=41%","YARS1/KARS1/WARS1/GARS1/VARS1/TARS1/FARSB/AARS1/YARS2/EPRS1/DARS1/AARS2/PARS2/MARS1/MARS2/QRSL1/CARS2/IARS1/RARS2/CARS1/FARSA/PSTK/SARS2/NARS1/DARS2"
"hsa05020","Prion disease",257,0.341514331799224,1.59606564246426,0.00019035842279353,0.00354667798257419,0.00262599707898,6958,"tags=54%, list=37%, signal=35%","UQCRH/TUBB/PSMB2/NOTCH1/TUBA1C/UQCRHL/ATP5F1C/TUBB6/RYR1/PPP3R1/PRNP/CSNK2A2/PSMB4/TUBB4A/CREB3L2/PSMD2/COXFA4L2/SEM1/IL1A/RYR3/PSMD14/PSMD7/TUBA4A/ATP5MC3/TUBB2B/PSMC2/CYCS/NDUFS5/TNF/GRIN2B/NDUFA9/SLC25A5/ATF4/TUBA1B/CACNA1B/COX5A/NDUFB9/PSMA7/STIP1/GRIN2A/C8G/CREB5/PSMD11/PSMA4/CYC1/PSMC4/GRIN2D/UQCRFS1/PSMC3/ITPR3/COX7B/FYN/ADRM1/PIK3CD/PSMA5/TUBB3/PSMD4/PSMB5/CSNK2B/CCL5/COX4I1/UQCRB/CYBA/VDAC3/MAPK14/KLC3/MAPK12/PSMD1/CAV2/CASP3/PSMB7/PSMD8/HSPA6/SDHD/NDUFA6/NCF2/PSMB1/PSMD12/C1QC/C1QB/C1QA/SDHB/NCF1/COX6B1/VDAC2/ATP5PB/COX5B/PSMD13/BAX/CYBB/NDUFB5/NDUFB3/PSMA1/NCF4/NDUFS3/MCU/ATP5PF/HSPA5/PSMB6/NDUFV1/NDUFB11/PPIF/COX7A2L/TUBA1A/EIF2S1/IL1B/TUBA8/ATP5PO/PSMA3/NDUFS6/COXFA4/DDIT3/NCAM1/PSMB3/RYR2/NDUFB6/ATP5MC1/NDUFB2/CSNK2A1/SDHA/MT-CO2/COX7A2/PIK3CB/NDUFA1/TUBB2A/UQCRC1/ATP5F1B/PIK3CA/ATF6B/NDUFA12/KIF5B/NDUFS2/PSMC1/MAPK1/RAC2/HSPA8/SLC25A6/CSNK2A3"
"hsa05166","Human T-cell leukemia virus 1 infection",211,0.354632110050053,1.61638068444768,0.000322315175271934,0.00570497860231323,0.00422402519172166,3812,"tags=30%, list=20%, signal=25%","CCNE1/CDKN2A/CDC20/CHEK1/E2F3/CCNB2/E2F2/MMP7/CCNA2/CHEK2/RANBP1/TBPL1/PTTG1/CCNA1/IL1R2/MAD2L1/FOSL1/CDKN2C/BUB1B/TERT/PPP3R1/E2F1/LTBR/IL2RA/FDPS/CREB3L2/CALR/SLC2A1/ICAM1/ESPL1/HLA-DOB/IL15RA/XPO1/CDK2/TNF/RAN/VAC14/ELK1/RELB/SLC25A5/ATF4/SRF/HLA-F/MYC/CCNE2/CDK4/CREB5/CRTC2/TSPO/TCF3/ADCY3/NFKB2/NRAS/CD40/CDKN2B/ADCY7/TBP/ANAPC1/PIK3CD/CCND3/IL15/TRRAP/HLA-A/VDAC3"
"hsa04146","Peroxisome",77,-0.419413966834166,-1.80060276370976,0.00033977387428729,0.00572761673798575,0.00424078670163084,3125,"tags=32%, list=16%, signal=27%","FAR1/NUDT13/SCP2/ACOX3/ABCD4/EPHX2/PEX19/AMACR/PEX7/HMGCL/ABCD3/PXMP4/ECI2/PEX11G/DDO/PEX5L/PEX12/CRAT/MPV17L/HSD17B4/PEX11A/SLC27A2/CROT/ACOX2/NUDT12"
"hsa05332","Graft-versus-host disease",34,0.560129840017795,1.86370641161021,0.000371961505705985,0.00598519877363266,0.0044315031062579,7317,"tags=85%, list=39%, signal=53%","IL1A/HLA-DOB/TNF/GZMB/HLA-F/IFNG/PRF1/FAS/CD80/HLA-A/FASLG/KLRD1/HLA-G/CD86/HLA-B/KLRC1/HLA-E/IL1B/KIR3DL2/HLA-DQA1/HLA-C/HLA-DRA/HLA-DMA/HLA-DRB1/HLA-DQB1/HLA-DQA2/HLA-DOA/HLA-DRB5/HLA-DMB"
